piezometer_id,cluster_id,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
II/1272/1,1,6,1,2004-12-01,2005-05-01,6,2004-12-01,-1.8627318674216515,-9.234207566121611,9.234207566121611,-1.539034594353602,2005-08-01,8,True
II/1272/1,1,6,2,2006-04-01,2007-03-01,12,2006-05-01,-1.318010897303537,-13.315505611451869,13.315505611451869,-1.1096254676209891,2007-05-01,12,True
II/1272/1,1,6,3,2016-01-01,2016-12-01,12,2016-03-01,-1.8627318674216515,-19.529039840873715,19.529039840873715,-1.6274199867394763,2017-01-01,10,True
II/1272/1,1,6,4,2020-06-01,2020-10-01,5,2020-10-01,-1.8627318674216515,-7.134775456635799,7.134775456635799,-1.4269550913271598,,,False
II/1272/1,1,12,1,2005-06-01,2005-07-01,2,2005-06-01,-1.009990169249582,-2.019980338499164,2.019980338499164,-1.009990169249582,2006-02-01,8,True
II/1272/1,1,12,2,2006-08-01,2007-03-01,8,2007-02-01,-1.8339146358159146,-10.542454476014377,10.542454476014377,-1.3178068095017972,2007-07-01,5,True
II/1272/1,1,12,3,2016-04-01,2017-02-01,11,2016-06-01,-1.8627318674216515,-19.212421011461117,19.212421011461117,-1.746583728314647,2017-05-01,11,True
II/1272/1,1,12,4,2020-03-01,2020-10-01,8,2020-04-01,-1.8339146358159146,-10.9870722534228,10.9870722534228,-1.37338403167785,,,False
II/1272/2,2,3,1,2015-12-01,2016-07-01,8,2016-03-01,-1.9145058250555573,-13.014991964252772,13.014991964252772,-1.6268739955315965,2016-10-01,7,True
II/1272/2,2,3,2,2019-11-01,2019-11-01,1,2019-11-01,-1.0491313979639707,-1.0491313979639707,1.0491313979639707,-1.0491313979639707,2020-12-01,13,True
II/1272/2,2,3,3,2020-03-01,2020-10-01,8,2020-03-01,-1.382994127100638,-9.665918325918481,9.665918325918481,-1.2082397907398101,2020-12-01,9,True
II/1272/2,2,3,4,2021-12-01,2022-02-01,3,2022-01-01,-1.9145058250555573,-5.718521610444545,5.718521610444545,-1.9061738701481816,2024-02-01,25,True
II/1272/2,2,3,5,2022-05-01,2023-04-01,12,2022-08-01,-1.88950996033343,-16.9986759684539,16.9986759684539,-1.4165563307044915,2024-02-01,18,True
II/1272/2,2,3,6,2023-08-01,2023-11-01,4,2023-08-01,-1.351702239930661,-5.406808959722644,5.406808959722644,-1.351702239930661,2024-02-01,6,True
II/1272/2,2,6,1,2016-02-01,2016-09-01,8,2016-06-01,-1.88950996033343,-12.155762125856882,12.155762125856882,-1.5194702657321102,2016-12-01,6,True
II/1272/2,2,6,2,2020-05-01,2020-11-01,7,2020-06-01,-1.351702239930661,-8.251632311647866,8.251632311647866,-1.178804615949695,2021-08-01,14,True
II/1272/2,2,6,3,2021-12-01,2023-04-01,17,2022-04-01,-1.9145058250555573,-26.367542727447624,26.367542727447624,-1.551031925143978,2024-02-01,22,True
