group,window_months,date,available_wells,total_group_wells,group_mean_SGI
1,3,2019-12-01,9,10,-0.888135566911976
1,3,2020-01-01,9,10,-0.9018501680139102
1,3,2020-02-01,10,10,-0.9332492195161061
1,3,2020-03-01,9,10,-0.976291682468807
1,3,2020-04-01,9,10,-0.9612422562880799
1,3,2020-05-01,9,10,-0.9899976710228449
1,3,2020-06-01,8,10,-0.9352197056784972
1,3,2020-07-01,8,10,-0.8433038495088049
1,3,2020-08-01,8,10,-0.8349546490863949
1,3,2020-09-01,8,10,-0.7327513663954199
1,3,2020-10-01,8,10,-0.703304383442491
1,3,2020-11-01,8,10,-0.2735533224374053
1,3,2020-12-01,8,10,-0.28972630278974215
1,3,2021-01-01,8,10,-0.2368912469109384
1,3,2021-02-01,8,10,-0.1985279635038234
1,3,2021-03-01,8,10,-0.09690570782580195
1,3,2021-04-01,7,10,-0.09184754433289209
1,3,2021-05-01,7,10,-0.038347315151249985
1,3,2021-06-01,6,10,-0.026457859151950796
1,3,2021-07-01,7,10,0.2231046770862508
1,3,2021-08-01,7,10,0.19854691728162582
1,3,2021-09-01,7,10,0.022161598332953916
1,3,2021-10-01,7,10,-0.032769123423761364
1,3,2021-11-01,7,10,-0.04612577771247798
1,3,2021-12-01,7,10,-0.22380390258198343
1,3,2022-01-01,7,10,-0.15034954112924417
1,3,2022-02-01,7,10,-0.16850442182985098
1,3,2022-03-01,7,10,-0.21384304419144545
1,3,2022-04-01,7,10,-0.33367237340901423
1,3,2022-05-01,7,10,-0.6654646755080602
1,3,2022-06-01,7,10,-0.7145306136514574
1,3,2022-07-01,7,10,-0.7815103359253667
1,3,2022-08-01,7,10,-0.8172279331375784
1,3,2022-09-01,6,10,-0.9627751829062956
1,3,2022-10-01,6,10,-1.0052722954183895
1,3,2022-11-01,6,10,-0.8881324812802264
1,3,2022-12-01,7,10,-1.1154309146522687
1,3,2023-01-01,7,10,-0.9882782009783239
1,3,2023-02-01,7,10,-0.9782333214271114
1,3,2023-03-01,7,10,-0.8847932497227065
1,3,2023-04-01,7,10,-0.8857526405364942
1,3,2023-05-01,7,10,-0.8944344837266583
1,3,2023-06-01,7,10,-1.0718027767840543
1,3,2023-07-01,6,10,-1.2837505151711799
1,3,2023-08-01,6,10,-1.2638073530552922
1,3,2023-09-01,6,10,-1.3434816876706597
1,3,2023-10-01,6,10,-1.2711048803910014
1,3,2023-11-01,6,10,-1.1197893212751087
1,3,2023-12-01,6,10,-1.3139705829446575
1,3,2024-01-01,7,10,-0.8719747566563884
1,3,2024-02-01,7,10,-0.5435699918532318
1,3,2024-03-01,7,10,-0.45847365809039836
1,3,2024-04-01,7,10,-0.23137063181329046
1,6,2004-12-01,3,10,
1,6,2005-01-01,3,10,
1,6,2005-02-01,3,10,
1,6,2005-03-01,3,10,
1,6,2005-04-01,3,10,
1,6,2005-05-01,3,10,
1,6,2005-06-01,3,10,
1,6,2005-07-01,3,10,
1,6,2005-08-01,3,10,
1,6,2005-09-01,3,10,
1,6,2005-10-01,3,10,
1,6,2005-11-01,3,10,
1,6,2005-12-01,5,10,-0.1601337020182088
1,6,2006-01-01,5,10,-0.11559902949785081
1,6,2006-02-01,5,10,-0.12488600621651028
1,6,2006-03-01,5,10,-0.11810804367053243
1,6,2006-04-01,5,10,-0.30845322598645913
1,6,2006-05-01,5,10,-0.32426719444208396
1,6,2006-06-01,5,10,-0.11692563673119313
