group,window_months,event_id,start,end,duration_months,minimum_date,minimum_sgi,severity_signed,severity_deficit,mean_intensity,recovery_date,recovery_months,recovered
2,6,8,2022-08-01,2023-02-01,7,2022-12-01,-1.5050220116594617,-9.430390726194853,9.430390726194853,-1.3471986751706932,2024-02-01,14,True
2,6,9,2023-09-01,2023-12-01,4,2023-10-01,-1.2713750812726312,-4.5408715186189035,4.5408715186189035,-1.1352178796547259,2024-02-01,4,True
2,12,1,1992-09-01,1993-06-01,10,1992-10-01,-1.129254074837766,-10.821467940985038,10.821467940985038,-1.0821467940985037,1993-10-01,12,True
2,12,2,2016-02-01,2016-11-01,10,2016-07-01,-1.56904958061864,-12.834617252774953,12.834617252774953,-1.2834617252774954,2017-01-01,6,True
2,12,3,2019-09-01,2020-06-01,10,2019-11-01,-1.3548817857681825,-12.52917322797987,12.52917322797987,-1.252917322797987,2020-11-01,12,True
2,12,4,2022-09-01,2023-04-01,8,2022-11-01,-1.2772268722440672,-9.200853411255219,9.200853411255219,-1.1501066764069023,2024-04-01,17,True
2,12,5,2023-06-01,2023-11-01,6,2023-10-01,-1.155141416597481,-6.4868543944570245,6.4868543944570245,-1.0811423990761708,2024-04-01,6,True
3,3,1,2017-03-01,2017-07-01,5,2017-06-01,-1.2210021576053043,-5.625712031526502,5.625712031526502,-1.1251424063053004,,,False
3,3,2,2019-01-01,2019-05-01,5,2019-05-01,-1.2606133607590442,-5.951329118511283,5.951329118511283,-1.1902658237022565,,,False
3,3,3,2019-08-01,2021-02-01,19,2020-08-01,-1.6878995447681544,-26.87894090869254,26.87894090869254,-1.4146811004575022,,,False
3,3,4,2021-05-01,2021-11-01,7,2021-07-01,-1.3911429430832978,-8.648242562362148,8.648242562362148,-1.2354632231945926,,,False
3,3,5,2022-05-01,2024-03-01,23,2023-09-01,-2.1529841516335844,-37.685425324024045,37.685425324024045,-1.6384967532184367,,,False
3,6,1,2017-04-01,2017-07-01,4,2017-05-01,-1.1906491195718836,-4.292476836038032,4.292476836038032,-1.073119209009508,,,False
3,6,2,2019-02-01,2022-01-01,36,2020-09-01,-1.6721197653720745,-47.01808269986033,47.01808269986033,-1.306057852773898,,,False
3,6,3,2022-06-01,2024-03-01,22,2023-12-01,-2.1529841516335844,-36.270800515755205,36.270800515755205,-1.6486727507161456,,,False
3,12,1,2019-04-01,2019-05-01,2,2019-05-01,-1.0556618571117815,-2.0698103849097076,2.0698103849097076,-1.0349051924548538,,,False
3,12,2,2019-08-01,2024-03-01,56,2024-03-01,-1.8735467560422534,-80.10060292652238,80.10060292652238,-1.4303679094021855,,,False
