date,piezometer_id,groundwater_level_m,cluster_id
2015-02-01,II/1274/1,67.93178571428571,1
2015-03-01,II/1274/1,67.93677419354839,1
2015-04-01,II/1274/1,67.942,1
2015-05-01,II/1274/1,67.91419354838709,1
2015-06-01,II/1274/1,67.858,1
2015-07-01,II/1274/1,67.80935483870968,1
2015-08-01,II/1274/1,67.75774193548386,1
2015-09-01,II/1274/1,67.70833333333333,1
2015-10-01,II/1274/1,67.67692307692307,1
2015-11-01,II/1274/1,67.6575,1
2015-12-01,II/1274/1,67.63516129032259,1
2016-01-01,II/1274/1,67.61416666666666,1
2016-02-01,II/1274/1,4.780000000000001,1
2016-03-01,II/1274/1,67.57882352941176,1
2016-04-01,II/1274/1,67.57285714285715,1
2016-05-01,II/1274/1,67.56136363636364,1
2016-06-01,II/1274/1,67.53233333333333,1
2016-07-01,II/1274/1,67.5224,1
2016-08-01,II/1274/1,67.52666666666667,1
2016-09-01,II/1274/1,4.859999999999999,1
2016-10-01,II/1274/1,67.48677419354838,1
2016-11-01,II/1274/1,67.51346153846154,1
2016-12-01,II/1274/1,67.55935483870968,1
2017-01-01,II/1274/1,67.61483870967741,1
2017-02-01,II/1274/1,67.64894736842105,1
2017-03-01,II/1274/1,67.69615384615385,1
2017-04-01,II/1274/1,67.75166666666667,1
2017-05-01,II/1274/1,67.793,1
2017-06-01,II/1274/1,4.530000000000001,1
2017-07-01,II/1274/1,67.85354838709678,1
2017-08-01,II/1274/1,68.00727272727272,1
2017-09-01,II/1274/1,68.10705882352941,1
2017-10-01,II/1274/1,68.19769230769231,1
2017-11-01,II/1274/1,68.27366666666667,1
2017-12-01,II/1274/1,68.33032258064516,1
2018-01-01,II/1274/1,68.38870967741936,1
2018-02-01,II/1274/1,68.44642857142857,1
2018-03-01,II/1274/1,68.4783870967742,1
2018-04-01,II/1274/1,68.531,1
2018-05-01,II/1274/1,68.48870967741935,1
2018-06-01,II/1274/1,68.40066666666667,1
2018-07-01,II/1274/1,68.37451612903226,1
2018-08-01,II/1274/1,68.30580645161291,1
2018-09-01,II/1274/1,68.23066666666666,1
2018-10-01,II/1274/1,68.1825806451613,1
2018-11-01,II/1274/1,68.148,1
2018-12-01,II/1274/1,68.12290322580645,1
2019-01-01,II/1274/1,68.1158064516129,1
2019-02-01,II/1274/1,68.09428571428572,1
2019-03-01,II/1274/1,68.08806451612904,1
2019-04-01,II/1274/1,68.07217391304347,1
2019-05-01,II/1274/1,68.04838709677419,1
2019-06-01,II/1274/1,68.00266666666667,1
2019-07-01,II/1274/1,67.93677419354839,1
2019-08-01,II/1274/1,67.87258064516129,1
2019-09-01,II/1274/1,67.81966666666666,1
2019-10-01,II/1274/1,67.79,1
2019-11-01,II/1274/1,67.765,1
2019-12-01,II/1274/1,67.74032258064516,1
2020-01-01,II/1274/1,67.71483870967742,1
2020-02-01,II/1274/1,67.71068965517242,1
2020-03-01,II/1274/1,67.70548387096774,1
2020-04-01,II/1274/1,67.69433333333333,1
2020-05-01,II/1274/1,67.67064516129032,1
2020-06-01,II/1274/1,67.65222222222222,1
2020-07-01,II/1274/1,67.71322580645162,1
2020-08-01,II/1274/1,67.7184,1
2020-09-01,II/1274/1,67.70866666666667,1
2020-10-01,II/1274/1,67.74064516129032,1
2020-11-01,II/1274/1,67.777,1
2020-12-01,II/1274/1,67.79387096774194,1
2021-01-01,II/1274/1,67.82677419354839,1
2021-02-01,II/1274/1,67.8725,1
2021-03-01,II/1274/1,67.93277777777777,1
2021-05-01,II/1274/1,68.11047619047619,1
2021-06-01,II/1274/1,68.1,1
2021-07-01,II/1274/1,68.04612903225807,1
2021-08-01,II/1274/1,67.97866666666667,1
2021-09-01,II/1274/1,67.93266666666666,1
2021-10-01,II/1274/1,67.8916129032258,1
2021-11-01,II/1274/1,67.86733333333333,1
2021-12-01,II/1274/1,67.83806451612904,1
2022-01-01,II/1274/1,67.81935483870967,1
2022-02-01,II/1274/1,67.84,1
2022-03-01,II/1274/1,67.84903225806451,1
2022-04-01,II/1274/1,67.842,1
2022-05-01,II/1274/1,67.81354838709677,1
2022-06-01,II/1274/1,67.77266666666667,1
