date,imgw_Zalesie,imgw_Trzemeszno,imgw_Pakość,imgw_Jaksice,imgw_Gębice
1999-01-01,,39.1,28.8,29.6,38.0
1999-02-01,,33.5,32.0,32.7,33.0
1999-03-01,,63.8,59.1,56.4,50.2
1999-04-01,,104.9,101.9,108.8,96.4
1999-05-01,,40.8,53.6,60.2,32.1
1999-06-01,,101.7,78.9,84.1,93.2
1999-07-01,,58.3,66.6,69.6,49.8
1999-08-01,,16.1,27.0,39.2,16.1
1999-09-01,,19.0,24.3,22.2,16.1
1999-10-01,,28.6,26.5,34.7,29.9
1999-11-01,,39.3,37.3,32.7,32.0
1999-12-01,,37.0,48.6,54.9,39.4
2000-01-01,,23.2,33.7,22.9,20.9
2000-02-01,,29.1,29.1,35.9,26.8
2000-03-01,,63.6,44.8,41.3,60.9
2000-04-01,,11.3,10.2,12.2,15.4
2000-05-01,,31.7,28.0,20.2,25.3
2000-06-01,,28.7,20.7,20.8,29.5
2000-07-01,,132.4,115.4,120.4,123.9
2000-08-01,,57.7,78.7,61.6,50.1
2000-09-01,,33.8,68.9,60.2,34.8
2000-10-01,,12.9,11.3,8.9,8.2
2000-11-01,,42.3,51.4,47.0,43.3
2000-12-01,,41.6,47.3,43.3,39.2
2001-01-01,27.5,15.1,16.7,10.7,12.8
2001-02-01,27.9,21.6,29.2,18.1,21.2
2001-03-01,78.0,46.2,43.6,43.1,42.0
2001-04-01,54.2,45.5,59.7,56.2,52.2
2001-05-01,16.0,38.3,37.6,53.8,26.3
2001-06-01,63.7,70.7,80.8,84.5,73.5
2001-07-01,103.8,70.6,149.9,154.2,106.7
2001-08-01,31.2,21.9,33.7,37.5,25.7
2001-09-01,122.9,103.4,112.6,90.7,89.1
2001-10-01,17.4,25.8,23.5,35.1,16.9
2001-11-01,24.2,17.7,18.3,10.9,19.6
2001-12-01,74.7,43.5,34.2,19.7,38.2
2002-01-01,64.3,33.9,40.3,34.9,32.4
2002-02-01,88.7,54.1,72.0,71.5,55.5
2002-03-01,66.6,51.3,60.9,51.7,55.6
2002-04-01,26.7,23.5,17.1,14.3,13.5
2002-05-01,42.1,49.5,65.2,76.8,42.1
2002-06-01,40.7,59.3,72.4,49.9,55.7
2002-07-01,39.5,48.5,68.9,94.0,33.7
2002-08-01,111.5,65.2,53.1,36.2,45.2
2002-09-01,36.8,78.2,47.1,72.3,34.2
2002-10-01,101.6,89.6,103.3,101.9,84.3
2002-11-01,45.7,48.1,44.9,38.7,45.3
2002-12-01,24.2,9.4,13.0,6.5,10.3
2003-01-01,45.6,41.2,37.7,40.6,38.3
2003-02-01,10.0,4.4,3.3,4.2,3.4
2003-03-01,13.1,13.8,13.3,15.5,11.0
2003-04-01,23.5,14.5,11.8,15.3,16.3
2003-05-01,22.5,29.6,23.3,37.9,34.1
2003-06-01,46.2,10.0,32.5,29.8,22.3
2003-07-01,107.6,64.8,96.0,105.5,96.6
2003-08-01,15.8,21.5,11.1,7.9,11.8
2003-09-01,15.8,15.2,23.9,30.5,14.2
2003-10-01,29.4,45.1,41.8,36.0,27.5
2003-11-01,28.7,25.9,25.6,26.3,19.9
2003-12-01,35.9,36.1,21.2,31.9,25.9
2004-01-01,63.8,49.7,37.2,37.8,35.8
2004-02-01,43.9,31.0,42.3,45.5,33.0
2004-03-01,15.9,30.1,36.3,35.1,26.2
2004-04-01,13.6,20.2,18.6,12.7,15.6
2004-05-01,52.6,51.0,48.2,57.2,45.0
2004-06-01,53.8,50.7,45.3,24.3,35.9
2004-07-01,44.0,51.2,52.1,54.9,45.8
2004-08-01,69.3,82.9,86.1,78.0,61.7
2004-09-01,35.5,26.7,25.2,20.4,27.2
2004-10-01,49.1,50.4,46.5,48.9,41.3
2004-11-01,47.2,46.7,36.0,33.5,42.2
2004-12-01,37.9,38.2,43.9,40.5,39.5
2005-01-01,56.7,27.6,29.8,27.6,19.7
2005-02-01,46.9,53.0,35.5,42.6,47.2
2005-03-01,27.3,17.6,17.6,29.1,19.0
2005-04-01,33.9,36.0,45.9,58.4,32.9
2005-05-01,91.3,88.6,75.9,96.3,104.9
2005-06-01,18.0,20.1,22.8,36.4,22.4
2005-07-01,40.5,60.9,39.2,32.9,46.9
2005-08-01,80.1,73.6,27.2,31.9,39.9
2005-09-01,18.5,19.8,23.8,23.1,18.8
2005-10-01,5.1,3.2,6.1,4.3,4.3
2005-11-01,18.8,21.4,22.9,28.2,17.5
2005-12-01,86.9,81.1,87.8,98.9,84.2
2006-01-01,7.9,14.9,12.5,7.3,15.6
2006-02-01,29.9,44.9,28.5,37.9,37.6
2006-03-01,18.1,24.0,21.8,19.1,20.2
2006-04-01,56.9,53.5,46.3,44.3,55.6
2006-05-01,42.7,50.4,50.8,43.0,43.3
2006-06-01,14.7,23.5,22.2,15.8,24.3
2006-07-01,10.4,23.4,27.3,22.1,10.0
2006-08-01,160.4,170.9,176.3,159.9,202.9
2006-09-01,43.9,16.0,22.2,29.3,18.1
2006-10-01,9.2,32.1,20.6,17.8,32.5
2006-11-01,23.5,38.9,34.1,27.3,26.7
2006-12-01,38.6,36.5,30.7,32.6,28.2
2007-01-01,79.0,86.7,70.7,73.3,75.7
2007-02-01,50.3,53.0,38.3,43.9,47.6
2007-03-01,57.0,59.3,59.7,38.1,53.5
2007-04-01,12.5,9.8,13.8,22.2,10.6
2007-05-01,78.1,56.8,38.4,32.0,68.3
2007-06-01,115.4,61.1,61.0,81.6,70.4
2007-07-01,79.3,145.2,126.1,127.6,135.4
2007-08-01,37.8,65.6,50.3,66.3,77.0
2007-09-01,42.8,34.9,36.2,31.3,29.1
2007-10-01,17.3,14.9,19.5,7.7,13.1
2007-11-01,26.0,42.0,27.3,27.8,30.0
2007-12-01,33.9,32.5,25.4,23.1,29.2
2008-01-01,66.5,79.3,65.5,61.7,64.6
2008-02-01,23.2,32.1,23.5,26.2,24.9
2008-03-01,42.9,53.0,52.1,54.5,50.4
2008-04-01,32.7,39.3,35.0,34.2,48.8
2008-05-01,11.9,18.4,19.0,0.3,18.3
2008-06-01,17.1,6.7,11.3,7.7,11.1
2008-07-01,73.0,51.9,52.6,41.6,42.2
2008-08-01,91.4,104.0,99.8,97.7,99.2
2008-09-01,27.1,28.4,34.5,39.3,25.0
2008-10-01,45.1,70.8,66.8,59.6,61.9
2008-11-01,18.4,18.8,19.6,21.8,10.3
2008-12-01,28.8,19.7,18.8,12.7,14.7
2009-01-01,18.2,21.0,14.9,17.6,16.5
2009-02-01,36.4,27.4,19.9,20.6,20.4
2009-03-01,59.2,48.0,42.2,39.0,36.4
2009-04-01,1.0,7.7,1.1,0.0,7.4
2009-05-01,80.9,75.4,51.9,46.9,86.4
2009-06-01,76.9,98.7,64.5,85.8,96.2
2009-07-01,96.0,183.0,124.7,123.5,100.2
2009-08-01,20.8,43.0,34.4,27.7,38.8
2009-09-01,38.2,37.4,20.1,18.1,38.6
2009-10-01,44.8,57.5,55.8,56.4,61.4
2009-11-01,39.4,47.1,47.6,42.4,38.5
2009-12-01,41.2,45.7,35.6,43.1,34.2
2010-01-01,34.2,40.9,37.0,43.7,40.0
2010-02-01,17.2,23.1,15.7,22.0,20.2
2010-03-01,49.0,39.7,32.5,47.8,39.4
2010-04-01,42.6,47.2,36.4,25.3,45.7
2010-05-01,81.8,102.6,100.2,0.0,109.8
2010-06-01,13.7,39.4,30.4,27.3,33.0
2010-07-01,92.1,113.6,123.4,158.6,112.6
2010-08-01,155.6,128.1,111.1,99.2,115.2
2010-09-01,71.3,66.0,55.2,70.2,47.3
2010-10-01,2.6,6.4,5.1,3.7,3.1
2010-11-01,100.0,135.5,104.5,112.6,121.8
2010-12-01,66.7,71.5,52.6,62.6,64.2
2011-01-01,27.4,34.7,25.4,32.4,25.2
2011-02-01,18.3,26.5,19.1,19.7,18.5
2011-03-01,18.9,19.3,17.0,16.4,16.4
2011-04-01,7.6,14.5,5.8,5.7,10.0
2011-05-01,28.7,27.6,31.6,24.3,22.4
2011-06-01,54.8,70.8,55.7,42.3,44.1
2011-07-01,116.9,127.6,107.3,101.7,97.9
2011-08-01,34.2,35.8,19.6,38.2,35.0
2011-09-01,19.8,28.0,17.0,20.2,30.4
2011-10-01,17.0,22.3,11.0,17.3,16.9
2011-11-01,2.0,1.5,0.9,0.1,1.0
2011-12-01,48.4,49.8,30.7,34.0,39.8
2012-01-01,58.6,62.2,49.2,42.3,49.9
2012-02-01,34.8,33.9,23.4,31.9,27.0
2012-03-01,13.0,15.0,9.8,13.7,8.2
2012-04-01,27.3,24.4,20.0,16.2,19.0
2012-05-01,46.4,49.3,36.2,39.5,27.3
2012-06-01,136.7,127.8,114.5,131.0,86.3
2012-07-01,125.7,104.0,117.5,88.1,82.2
2012-08-01,42.7,49.0,37.6,31.2,36.0
2012-09-01,31.5,37.8,36.9,48.5,27.1
2012-10-01,31.1,36.2,21.1,25.3,26.0
2012-11-01,55.2,51.6,44.4,39.7,43.5
2012-12-01,21.3,24.8,18.8,26.6,19.6
2013-01-01,53.9,73.9,52.3,64.1,58.9
2013-02-01,43.1,44.6,37.3,36.2,36.3
2013-03-01,20.9,42.3,29.3,37.8,36.3
2013-04-01,12.2,17.1,8.9,16.6,19.3
2013-05-01,85.1,89.7,73.2,78.5,93.0
2013-06-01,62.5,112.6,91.4,107.5,74.0
2013-07-01,44.3,54.5,97.0,98.6,48.9
2013-08-01,60.1,63.0,47.9,51.5,56.5
2013-09-01,54.3,77.5,88.9,99.7,76.9
2013-10-01,32.7,16.9,13.3,11.8,12.2
2013-11-01,38.5,48.8,35.6,36.3,41.7
2013-12-01,31.7,38.6,20.5,27.6,21.3
