date,SPI3_ZALESIE,SPI3_TRZEMESZNO,SPI3_PAKOŚĆ,SPI3_JAKSICE,SPI3_GĘBICE,SPI6_ZALESIE,SPI6_TRZEMESZNO,SPI6_PAKOŚĆ,SPI6_JAKSICE,SPI6_GĘBICE,SPI12_ZALESIE,SPI12_TRZEMESZNO,SPI12_PAKOŚĆ,SPI12_JAKSICE,SPI12_GĘBICE,sgi3_cluster_1,sgi3_cluster_2,sgi3_cluster_3,sgi6_cluster_1,sgi6_cluster_2,sgi6_cluster_3,sgi12_cluster_1,sgi12_cluster_2,sgi12_cluster_3
1990-11-01,1.423133885382872,1.45413290718982,0.7856212482867702,0.2781293082662886,1.006149300907908,1.23793837143845,0.5623588925323996,0.5440626127950076,-0.3427200470463945,0.4763757173541803,1.405438703518205,0.2410628045027343,-0.01666827883349973,-0.6447515213802119,-0.02358825504212744,,-0.8413335177642993,1.806450456976557,,-0.1765828989649004,,,-0.3734608271538787,
1990-12-01,-0.05331199186665586,1.15740197735873,0.6283234900028305,0.002282431969333958,0.6936016214211547,1.198432250994169,0.4665970856340939,0.05523031817959102,-0.5097137090823485,0.3915163120125403,1.491233659674845,0.09388624627750917,-0.1057794500454281,-0.732625542664058,-0.1715467350038154,,-0.7325513649732904,1.798651295324306,,-0.2248101494069037,,,-0.3693732068572498,
1991-01-01,-0.3655970482297884,-0.02029376549436728,-0.2221553613899039,-0.5232113831221852,-0.3625188852704565,1.066387639289445,0.5020556809299934,0.2344785349890735,-0.4082846674703447,0.2586649833337955,1.44462137380752,0.1151716346530642,-0.03901301726990646,-0.6696100586812198,-0.1426846232776212,,-0.4984390002636586,1.72845884045428,,-0.6597765987270384,1.96711924197901,,-0.3611979662639918,
1991-02-01,-0.6543714537111559,-1.604132253574544,-1.232706156208812,-1.478794956872744,-1.668940903680998,0.9657603642605228,0.6673901325425369,0.07019431403577478,-0.5840374827335479,0.07827208413879602,1.39736643869556,-0.08119330214327034,-0.2342811473931123,-0.8810578095451042,-0.2722782073972291,,-0.3416256839441418,1.627069738975383,,-0.6383471118196392,1.886048799400557,,-0.2298924805164631,
1991-03-01,-0.99137764577871,-1.806484538752041,-1.580746239463263,-1.901844492078982,-1.594304136849638,-0.689586225907793,-0.04295593274268667,-0.4281731484974153,-1.140293010538446,-0.3330318251843025,1.282674097935792,-0.01293476572131995,-0.2481430111527835,-0.8932567007576134,-0.1740863545270966,,-0.2503409700832797,1.486684829235331,,-0.5248593157780207,1.804978356822104,,-0.24235690006061,
1991-04-01,0.4231708082516679,-1.050233570350551,-0.8318662512448909,-1.235898758379268,-0.9701886778178207,0.0588025770195278,-0.6578870552230288,-0.7355545867746045,-1.284052764302331,-0.9026074546672891,0.8990553690001932,-0.09135353752662097,-0.2437010418096255,-1.035554440384891,-0.2986416184502555,,-0.2815076145500036,3.249295362638135,,-0.4128223771191321,2.730888148375984,,-0.2656919564665678,
1991-05-01,0.7744852951872473,-0.5335942840137532,0.3660738974952488,-0.2325696358885918,0.5041217118907222,0.3341948967463856,-1.391048562821187,-0.3938639384000516,-1.138823148692914,-0.4182425213587223,0.967277480226715,-0.108333052825577,0.2204403688486069,-0.839734855364603,0.1513713535698778,,-0.2729017679601555,3.194701231072544,,-0.3231870102450633,2.645550840398705,,-0.2673091942276634,
1991-06-01,0.8512850106297406,0.9775317435035576,1.506379236865466,0.966796212867942,1.192703713467119,0.3344268647022664,-0.04649670056688581,0.5476483413586395,0.1236085624311671,0.3193158059909193,0.8912234087380732,0.3090836595382431,0.2988891682138998,-0.3709387412994342,0.4379850794473186,,-0.2048107718445324,3.202500392724762,,-0.2369612103760175,2.57301412861794,,-0.24601794797002,
1991-07-01,0.4839792791602983,0.2431578642018662,0.2940386947447017,-0.05592896963803023,0.7228070056173781,0.5364312208258699,-0.1787941477258612,-0.1483256119577054,-0.5845092295013068,0.3281095412371728,0.9361644870523965,0.1651337664485176,0.007525012196313429,-0.7817329650926975,0.3591363057505106,,-0.177441646587887,1.385295727756401,,-0.2427937196411653,2.543146070825905,,-0.5124773602378054,2.404743924592718
1991-08-01,0.9455269404167458,-0.210272370744721,-0.1612545308040222,-0.3959532246044999,-0.07702750725663025,1.012152276734515,-0.4624342015153451,-0.0145224791327409,-0.5206261163430805,0.1570187649782287,1.130787079167709,-0.02134039154992786,-0.0009265066967010382,-0.8052491123830742,0.1590295565555303,,0.03597796566631787,1.27610746462522,,-0.1190699526510197,2.453541897449728,,-0.4262107616213081,2.313811970937106
1991-09-01,1.325215307421709,-1.611367771236897,-1.117732829271096,-1.66160593366913,-0.8619693059110879,1.207960465767344,-0.4857757712937688,0.0768119050488223,-0.5198618274160874,0.1180980946966297,0.7454436006285072,-0.495412650382891,-0.170220530500326,-0.998603381444358,-0.06167945348892015,,-0.2248706044316491,1.143521716537418,,-0.2272040119325838,2.385272051067861,,-0.4220106344581996,2.23424651148844
1991-10-01,1.564922638476425,-1.442799764576315,-0.3181473327359465,-0.840472016630021,-1.049398927070346,1.237678677604463,-0.5832578657904047,-0.07427263756571957,-0.6300276384749466,-0.01400962547594487,0.9115565388800221,-0.9111660489095093,-0.4830526937441951,-1.208402885800965,-0.4728568375233476,,-0.4313280981341346,1.018735130101802,,-0.3260887250104148,1.322822566750248,,-0.4143744731186402,2.161500948563864
1991-11-01,0.7507454251681833,-0.5013437799054385,-0.1316242482557951,-0.5490307581546009,-0.2841055284106771,0.975376811441015,-0.477998194755641,-0.2409378366097977,-0.5820503681507624,-0.2398625139128827,0.785321056031532,-1.026846957042695,-0.4501884044263346,-1.033367968394536,-0.4312542237454751,,-0.821937319229139,1.003136806797366,,-0.4220571834556573,1.254552720368381,,-0.4179230141615706,2.079662190273809
1991-12-01,1.168435586917887,-0.3258896757627976,0.03482809208376673,-0.2114830716494275,-0.1360412333758153,1.420972492462917,-1.479479480869969,-1.023375805337376,-1.604020552283251,-0.8221150347478442,1.003405526496874,-1.063377802067928,-0.3907260695555002,-1.018649323969521,-0.3990101389458456,,-0.7859930615663134,0.9797393218406797,,-0.5443300930630982,1.169215412391066,,-0.4387876880319345,1.995550133142287
1992-01-01,0.9893954506137533,-0.7960910978298282,-0.3517047659841186,-0.4504934747526148,-0.4602421309521468,1.625212375339088,-1.617955786040553,-0.5360961067272675,-1.041749814378981,-1.152559919262241,1.187400566823734,-1.079923958638587,-0.4819391067315557,-1.056937337067004,-0.4817104351365485,,-0.6546193967147866,0.971940160188462,,-0.5833079973013143,1.096678700610337,,-0.4658962992137562,1.940990960948904
