feature_id,lake_name,x_coord_2180,y_coord_2180
16,Jez. W─ůsoskie,416065.1783,565673.3432
16,Jez. W─ůsoskie,416073.6643,565668.0332
16,Jez. W─ůsoskie,416080.9822,565662.6864
16,Jez. W─ůsoskie,416087.8087,565656.807
16,Jez. W─ůsoskie,416103.3634,565639.9766
16,Jez. W─ůsoskie,416122.134,565616.5123
16,Jez. W─ůsoskie,416125.4924,565610.3333
16,Jez. W─ůsoskie,416126.6363,565603.3322
16,Jez. W─ůsoskie,416126.3146,565596.4096
16,Jez. W─ůsoskie,416125.3242,565594.8136
16,Jez. W─ůsoskie,416119.0287,565589.2928
16,Jez. W─ůsoskie,416115.8933,565586.7354
16,Jez. W─ůsoskie,416112.3485,565585.6353
16,Jez. W─ůsoskie,416102.277,565587.0103
16,Jez. W─ůsoskie,416079.1128,565587.4306
16,Jez. W─ůsoskie,416077.2132,565587.1906
16,Jez. W─ůsoskie,416075.2255,565585.2312
16,Jez. W─ůsoskie,416068.9239,565569.2408
16,Jez. W─ůsoskie,416064.7026,565552.8054
16,Jez. W─ůsoskie,416048.4651,565476.5848
16,Jez. W─ůsoskie,416045.7144,565457.6754
16,Jez. W─ůsoskie,416046.0971,565454.7693
16,Jez. W─ůsoskie,416047.5719,565452.1297
16,Jez. W─ůsoskie,416049.7833,565449.8866
16,Jez. W─ůsoskie,416052.3532,565448.7805
16,Jez. W─ůsoskie,416087.3588,565452.0085
16,Jez. W─ůsoskie,416100.3388,565452.2814
16,Jez. W─ůsoskie,416107.3013,565451.4181
16,Jez. W─ůsoskie,416114.2151,565449.6556
16,Jez. W─ůsoskie,416117.7013,565447.7458
16,Jez. W─ůsoskie,416120.9932,565444.0873
16,Jez. W─ůsoskie,416124.056,565438.7105
16,Jez. W─ůsoskie,416125.5077,565433.0378
16,Jez. W─ůsoskie,416124.8092,565421.9341
16,Jez. W─ůsoskie,416125.2462,565402.9589
16,Jez. W─ůsoskie,416124.7435,565380.9348
16,Jez. W─ůsoskie,416124.2195,565374.9874
16,Jez. W─ůsoskie,416123.2928,565371.1366
16,Jez. W─ůsoskie,416118.7202,565361.2126
16,Jez. W─ůsoskie,416117.7864,565359.1859
16,Jez. W─ůsoskie,416114.2162,565354.3682
16,Jez. W─ůsoskie,416103.8212,565348.7938
16,Jez. W─ůsoskie,416063.6762,565332.8406
16,Jez. W─ůsoskie,416046.7146,565326.8508
16,Jez. W─ůsoskie,416035.1974,565323.686
16,Jez. W─ůsoskie,416022.4916,565321.1167
16,Jez. W─ůsoskie,415974.9231,565314.5057
16,Jez. W─ůsoskie,415940.1056,565310.6994
16,Jez. W─ůsoskie,415920.3604,565307.819
16,Jez. W─ůsoskie,415910.3232,565305.6873
16,Jez. W─ůsoskie,415900.8702,565303.6797
16,Jez. W─ůsoskie,415878.7109,565297.6271
16,Jez. W─ůsoskie,415824.3877,565280.3375
16,Jez. W─ůsoskie,415788.5568,565267.7602
16,Jez. W─ůsoskie,415761.6176,565257.1417
16,Jez. W─ůsoskie,415720.4205,565238.826
16,Jez. W─ůsoskie,415691.6364,565226.9583
16,Jez. W─ůsoskie,415676.5483,565221.8628
16,Jez. W─ůsoskie,415659.926,565218.4245
16,Jez. W─ůsoskie,415636.0558,565215.6685
16,Jez. W─ůsoskie,415625.0345,565215.3309
16,Jez. W─ůsoskie,415614.096,565216.2163
16,Jez. W─ůsoskie,415559.7445,565224.8741
16,Jez. W─ůsoskie,415538.9819,565227.2805
16,Jez. W─ůsoskie,415524.9374,565226.6821
16,Jez. W─ůsoskie,415510.2768,565223.494
16,Jez. W─ůsoskie,415504.569,565221.2097
16,Jez. W─ůsoskie,415499.4227,565218.0027
16,Jez. W─ůsoskie,415488.8847,565206.2175
16,Jez. W─ůsoskie,415479.4427,565191.8829
16,Jez. W─ůsoskie,415461.109,565158.6552
16,Jez. W─ůsoskie,415320.8234,564894.8434
16,Jez. W─ůsoskie,415294.3796,564846.7111
16,Jez. W─ůsoskie,415280.1289,564822.592
16,Jez. W─ůsoskie,415274.2344,564815.6316
16,Jez. W─ůsoskie,415267.2446,564810.0684
16,Jez. W─ůsoskie,415247.6855,564798.2156
16,Jez. W─ůsoskie,415223.7415,564785.5367
16,Jez. W─ůsoskie,415194.6538,564771.7553
16,Jez. W─ůsoskie,415186.8646,564770.2635
16,Jez. W─ůsoskie,415177.8253,564770.8659
16,Jez. W─ůsoskie,415176.2338,564771.3853
16,Jez. W─ůsoskie,415169.1149,564773.7085
16,Jez. W─ůsoskie,415158.4072,564780.9439
16,Jez. W─ůsoskie,415107.1931,564817.3056
16,Jez. W─ůsoskie,415048.4153,564860.6567
16,Jez. W─ůsoskie,414978.223,564913.7413
16,Jez. W─ůsoskie,414967.2582,564924.0763
