gwb_code,x_coord_2180,y_coord_2180
PLGW600043,433622.7701,577866.45
PLGW600043,433630.7101,577884.31
PLGW600043,433640.9001,577906.96
PLGW600043,433663.8201,577921.94
PLGW600043,433694.8701,577931.28
PLGW600043,433728.6001,577931.94
PLGW600043,433806.6601,577931.28
PLGW600043,433828.4801,577928.63
PLGW600043,433884.7101,577906.14
PLGW600043,433913.8101,577893.57
PLGW600043,433923.8989,577887.1837
PLGW600043,433931.8364,577876.8649
PLGW600043,433938.1865,577874.4837
PLGW600043,433946.9177,577877.2618
PLGW600043,433954.0615,577885.9931
PLGW600043,433957.7492,577898.8031
PLGW600043,433962.2203,577912.3939
PLGW600043,433965.8676,577919.1202
PLGW600043,433968.349,577923.6963
PLGW600043,433973.5084,577937.5869
PLGW600043,433972.7146,577957.0339
PLGW600043,433967.0818,577975.2308
PLGW600043,433966.1606,577988.7429
PLGW600043,433968.0651,578004.9152
PLGW600043,433970.9455,578015.3567
PLGW600043,433977.4772,578022.9152
PLGW600043,433985.9894,578025.213
PLGW600043,433998.1937,578027.4591
PLGW600043,434019.546,578023.709
PLGW600043,434031.4523,578022.5184
PLGW600043,434048.121,578023.709
PLGW600043,434061.6148,578026.0902
PLGW600043,434076.1176,578035.2005
PLGW600043,434086.1393,578045.2222
PLGW600043,434095.8769,578051.1756
PLGW600043,434107.6154,578053.4574
PLGW600043,434118.5816,578052.3116
PLGW600043,434136.8418,578047.564
PLGW600043,434150.1181,578039.1871
PLGW600043,434161.2442,578034.6141
PLGW600043,434177.5026,578031.6465
PLGW600043,434195.362,578027.2809
PLGW600043,434215.4567,578025.4757
PLGW600043,434225.5306,578025.7031
PLGW600043,434233.6879,578025.8872
PLGW600043,434281.8701,578034.23
PLGW600043,434333.4701,578046.93
PLGW600043,434369.9801,578050.89
PLGW600043,434397.7601,578058.04
PLGW600043,434416.0201,578076.29
PLGW600043,434424.7501,578096.93
PLGW600043,434426.518,578117.5654
PLGW600043,434427.1301,578124.71
PLGW600043,434439.0401,578142.97
PLGW600043,434441.5801,578146.91
PLGW600043,434474.0001,578163.44
PLGW600043,434520.3001,578177.99
PLGW600043,434558.6899,578186.86
PLGW600043,434575.8601,578197.84
PLGW600043,434583.8001,578211.73
PLGW600043,434585.7802,578226.94
PLGW600043,434585.1201,578245.46
PLGW600043,434584.4601,578257.37
PLGW600043,434579.1701,578262.66
PLGW600043,434571.7279,578262.9161
PLGW600043,434559.9901,578263.32
PLGW600043,434538.8201,578269.28
PLGW600043,434518.9701,578270.6
PLGW600043,434479.9501,578283.17
PLGW600043,434441.5801,578299.7
PLGW600043,434410.5001,578304.33
PLGW600043,434383.3801,578304.33
PLGW600043,434371.4701,578304.33
PLGW600043,434360.2201,578305.66
PLGW600043,434353.6101,578315.58
PLGW600043,434352.2901,578326.82
PLGW600043,434361.5501,578342.04
PLGW600043,434376.1001,578353.28
PLGW600043,434384.0401,578361.22
PLGW600043,434397.9301,578377.09
PLGW600043,434420.3121,578401.1714
PLGW600043,434420.3201,578401.18
PLGW600043,434442.7301,578422.34
PLGW600043,434453.3101,578438.87
PLGW600043,434467.2001,578455.41
PLGW600043,434484.4001,578460.7
PLGW600043,434520.7802,578468.64
PLGW600043,434549.8901,578487.82
PLGW600043,434570.3901,578508.99
PLGW600043,434577.5279,578516.5872
PLGW600043,434590.9001,578530.82
PLGW600043,434603.4701,578532.8
PLGW600043,434612.7301,578526.19
PLGW600043,434618.9106,578517.0845
PLGW600043,434624.8801,578508.29
PLGW600043,434649.7701,578501.71
PLGW600043,434694.7501,578501.71
PLGW600043,434727.8201,578501.71
PLGW600043,434745.6801,578495.1
PLGW600043,434769.0801,578479.03
PLGW600043,434802.4201,578479.03
PLGW600043,434848.4601,578480.62
PLGW600043,434859.0865,578481.8164
PLGW600043,434872.0996,578483.2811
PLGW600043,434886.03,578484.85
