feature_name,feature_code,gde_class,x_coord_2180,y_coord_2180
Dolina Prodkowej Noteci i Kana,PLB300001,2,397178.48,584330.17
Dolina Prodkowej Noteci i Kana,PLB300001,2,397246.05,584331.84
Dolina Prodkowej Noteci i Kana,PLB300001,2,397303.7243,584342.9269
Dolina Prodkowej Noteci i Kana,PLB300001,2,397316.73,584345.39
Dolina Prodkowej Noteci i Kana,PLB300001,2,397362.37,584358.61
Dolina Prodkowej Noteci i Kana,PLB300001,2,397433.2,584371.03
Dolina Prodkowej Noteci i Kana,PLB300001,2,397466.72,584403.09
Dolina Prodkowej Noteci i Kana,PLB300001,2,397475.6601,584413.0499
Dolina Prodkowej Noteci i Kana,PLB300001,2,397494.51,584434.05
Dolina Prodkowej Noteci i Kana,PLB300001,2,397496.3167,584438.3051
Dolina Prodkowej Noteci i Kana,PLB300001,2,397507.5706,584464.8297
Dolina Prodkowej Noteci i Kana,PLB300001,2,397682.85,584877.89
Dolina Prodkowej Noteci i Kana,PLB300001,2,397933.3089,585468.1355
Dolina Prodkowej Noteci i Kana,PLB300001,2,397945.4618,585496.7756
Dolina Prodkowej Noteci i Kana,PLB300001,2,398007.5316,585643.0529
Dolina Prodkowej Noteci i Kana,PLB300001,2,398008.57,585645.5
Dolina Prodkowej Noteci i Kana,PLB300001,2,398020.87,585670.5
Dolina Prodkowej Noteci i Kana,PLB300001,2,398037.54,585689.55
Dolina Prodkowej Noteci i Kana,PLB300001,2,398076.6,585715.42
Dolina Prodkowej Noteci i Kana,PLB300001,2,398084.8157,585724.0243
Dolina Prodkowej Noteci i Kana,PLB300001,2,398128.4,585769.67
Dolina Prodkowej Noteci i Kana,PLB300001,2,398150.5139,585802.1539
Dolina Prodkowej Noteci i Kana,PLB300001,2,398170.73,585831.85
Dolina Prodkowej Noteci i Kana,PLB300001,2,398222.24,585904.08
Dolina Prodkowej Noteci i Kana,PLB300001,2,398240.3994,585933.5847
Dolina Prodkowej Noteci i Kana,PLB300001,2,398548.256,585921.9235
Dolina Prodkowej Noteci i Kana,PLB300001,2,398725.5272,585927.2152
Dolina Prodkowej Noteci i Kana,PLB300001,2,398815.4857,585940.4444
Dolina Prodkowej Noteci i Kana,PLB300001,2,398931.9026,585958.9653
Dolina Prodkowej Noteci i Kana,PLB300001,2,399106.528,585980.132
Dolina Prodkowej Noteci i Kana,PLB300001,2,399262.6325,586006.5904
Dolina Prodkowej Noteci i Kana,PLB300001,2,399426.6745,586030.4029
Dolina Prodkowej Noteci i Kana,PLB300001,2,399530.0152,586040.9122
Dolina Prodkowej Noteci i Kana,PLB300001,2,399573.14,586045.2977
Dolina Prodkowej Noteci i Kana,PLB300001,2,399581.41,586045.62
Dolina Prodkowej Noteci i Kana,PLB300001,2,399603.1585,586048.3159
Dolina Prodkowej Noteci i Kana,PLB300001,2,399640.2388,586052.024
Dolina Prodkowej Noteci i Kana,PLB300001,2,399715.0709,586059.5072
Dolina Prodkowej Noteci i Kana,PLB300001,2,399736.953,586061.3695
Dolina Prodkowej Noteci i Kana,PLB300001,2,399764.5589,586063.7189
Dolina Prodkowej Noteci i Kana,PLB300001,2,399839.4253,586070.0905
Dolina Prodkowej Noteci i Kana,PLB300001,2,399987.5922,586085.9655
Dolina Prodkowej Noteci i Kana,PLB300001,2,400172.801,586109.7781
Dolina Prodkowej Noteci i Kana,PLB300001,2,400273.3428,586125.6531
Dolina Prodkowej Noteci i Kana,PLB300001,2,400371.2389,586133.5907
Dolina Prodkowej Noteci i Kana,PLB300001,2,400471.7807,586154.7574
Dolina Prodkowej Noteci i Kana,PLB300001,2,400556.4475,586167.9867
Dolina Prodkowej Noteci i Kana,PLB300001,2,400635.8228,586173.2782
Dolina Prodkowej Noteci i Kana,PLB300001,2,400696.677,586170.6324
Dolina Prodkowej Noteci i Kana,PLB300001,2,400760.1771,586178.57
Dolina Prodkowej Noteci i Kana,PLB300001,2,400866.0106,586189.1534
Dolina Prodkowej Noteci i Kana,PLB300001,2,400942.7401,586194.4449
Dolina Prodkowej Noteci i Kana,PLB300001,2,401022.1151,586202.3825
Dolina Prodkowej Noteci i Kana,PLB300001,2,401135.8862,586212.966
Dolina Prodkowej Noteci i Kana,PLB300001,2,401212.6156,586226.1951
Dolina Prodkowej Noteci i Kana,PLB300001,2,401294.6366,586239.4242
Dolina Prodkowej Noteci i Kana,PLB300001,2,401376.6575,586252.6535
Dolina Prodkowej Noteci i Kana,PLB300001,2,401474.5537,586263.2368
Dolina Prodkowej Noteci i Kana,PLB300001,2,401559.2205,586268.5285
Dolina Prodkowej Noteci i Kana,PLB300001,2,401606.8456,586265.8827
Dolina Prodkowej Noteci i Kana,PLB300001,2,401633.3038,586228.8409
Dolina Prodkowej Noteci i Kana,PLB300001,2,414990.291,588441.0794
Dolina Prodkowej Noteci i Kana,PLB300001,2,415345.8917,588371.2293
Dolina Prodkowej Noteci i Kana,PLB300001,2,415695.1424,588326.7792
Dolina Prodkowej Noteci i Kana,PLB300001,2,416152.3433,588295.0291
Dolina Prodkowej Noteci i Kana,PLB300001,2,416577.7942,588237.879
Dolina Prodkowej Noteci i Kana,PLB300001,2,416939.7449,588225.179
Dolina Prodkowej Noteci i Kana,PLB300001,2,417149.2953,588231.529
Dolina Prodkowej Noteci i Kana,PLB300001,2,417308.0456,588218.829
Dolina Prodkowej Noteci i Kana,PLB300001,2,417555.6961,588187.0789
Dolina Prodkowej Noteci i Kana,PLB300001,2,417866.8468,588155.3288
Dolina Prodkowej Noteci i Kana,PLB300001,2,418279.5976,588110.8788
Dolina Prodkowej Noteci i Kana,PLB300001,2,418838.3987,588041.0286
Dolina Prodkowej Noteci i Kana,PLB300001,2,419232.0995,587996.5785
Dolina Prodkowej Noteci i Kana,PLB300001,2,419575.0002,587958.4785
Dolina Prodkowej Noteci i Kana,PLB300001,2,419797.2506,587958.4785
Dolina Prodkowej Noteci i Kana,PLB300001,2,419905.2008,587933.0784
Dolina Prodkowej Noteci i Kana,PLB300001,2,420013.151,587958.4785
Dolina Prodkowej Noteci i Kana,PLB300001,2,420066.1161,587957.2468
Dolina Prodkowej Noteci i Kana,PLB300001,2,420286.2016,587952.1284
Dolina Prodkowej Noteci i Kana,PLB300001,2,420514.802,587952.1284
Dolina Prodkowej Noteci i Kana,PLB300001,2,420775.1526,587952.1284
Dolina Prodkowej Noteci i Kana,PLB300001,2,421130.7533,587952.1284
Dolina Prodkowej Noteci i Kana,PLB300001,2,421467.304,587945.7784
Dolina Prodkowej Noteci i Kana,PLB300001,2,421753.0545,587945.7784
Dolina Prodkowej Noteci i Kana,PLB300001,2,421994.355,587958.4785
Dolina Prodkowej Noteci i Kana,PLB300001,2,422273.7556,587983.8785
Dolina Prodkowej Noteci i Kana,PLB300001,2,422534.1061,587990.2285
Dolina Prodkowej Noteci i Kana,PLB300001,2,422622.3774,587993.6901
Dolina Prodkowej Noteci i Kana,PLB300001,2,422624.72,587958.65
Dolina Prodkowej Noteci i Kana,PLB300001,2,422625.9729,587940.9372
Dolina Prodkowej Noteci i Kana,PLB300001,2,422630.54,587876.37
Dolina Prodkowej Noteci i Kana,PLB300001,2,422641.12,587814.19
Dolina Prodkowej Noteci i Kana,PLB300001,2,422645.49,587769.98
Dolina Prodkowej Noteci i Kana,PLB300001,2,422658.12,587679.17
Dolina Prodkowej Noteci i Kana,PLB300001,2,422671.88,587638.96
Dolina Prodkowej Noteci i Kana,PLB300001,2,422703.58,587608.59
Dolina Prodkowej Noteci i Kana,PLB300001,2,422762.89,587591.33
Dolina Prodkowej Noteci i Kana,PLB300001,2,422829.57,587576.52
Dolina Prodkowej Noteci i Kana,PLB300001,2,422901.54,587570.17
Dolina Prodkowej Noteci i Kana,PLB300001,2,422929.05,587552.17
Dolina Prodkowej Noteci i Kana,PLB300001,2,422960.78,587530.57
Dolina Prodkowej Noteci i Kana,PLB300001,2,422964.97,587502.25
Dolina Prodkowej Noteci i Kana,PLB300001,2,422958.19,587466.26
Dolina Prodkowej Noteci i Kana,PLB300001,2,422932.48,587433.5
Dolina Prodkowej Noteci i Kana,PLB300001,2,422909.41,587374.6137
Dolina Prodkowej Noteci i Kana,PLB300001,2,423114.3976,587394.7621
Dolina Prodkowej Noteci i Kana,PLB300001,2,423347.4623,587419.7641
Dolina Prodkowej Noteci i Kana,PLB300001,2,423525.3554,587440.0037
Dolina Prodkowej Noteci i Kana,PLB300001,2,423765.8507,587465.9032
Dolina Prodkowej Noteci i Kana,PLB300001,2,423766.1267,587465.9329
Dolina Prodkowej Noteci i Kana,PLB300001,2,423811.6532,587464.9578
Dolina Prodkowej Noteci i Kana,PLB300001,2,423819.3271,587463.2928
Dolina Prodkowej Noteci i Kana,PLB300001,2,423819.3401,587463.29
Dolina Prodkowej Noteci i Kana,PLB300001,2,423849.7802,587458.11
Dolina Prodkowej Noteci i Kana,PLB300001,2,423909.4893,587465.1108
Dolina Prodkowej Noteci i Kana,PLB300001,2,423972.8418,587472.5388
Dolina Prodkowej Noteci i Kana,PLB300001,2,424072.8101,587484.26
Dolina Prodkowej Noteci i Kana,PLB300001,2,424347.3301,587515.1
Dolina Prodkowej Noteci i Kana,PLB300001,2,424443.3201,587526.74
Dolina Prodkowej Noteci i Kana,PLB300001,2,424504.7001,587533.62
Dolina Prodkowej Noteci i Kana,PLB300001,2,424572.4401,587538.65
Dolina Prodkowej Noteci i Kana,PLB300001,2,424638.8601,587534.58
Dolina Prodkowej Noteci i Kana,PLB300001,2,424782.565,587517.9982
Dolina Prodkowej Noteci i Kana,PLB300001,2,424869.0401,587508.0199
Dolina Prodkowej Noteci i Kana,PLB300001,2,424936.6201,587499.25
Dolina Prodkowej Noteci i Kana,PLB300001,2,424979.6201,587486.02
Dolina Prodkowej Noteci i Kana,PLB300001,2,424997.3924,587479.0714
